Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"C1"	"0603'"	"4.57mm"	"-21.97mm"	"4.57mm"	"-21.97mm"	"4.57mm"	"-22.67mm"	"B"	"90"	"100nF"
"C3"	"0603'"	"50.8mm"	"-13.72mm"	"50.8mm"	"-13.72mm"	"50.1mm"	"-13.72mm"	"B"	"0"	"330pF"
"C4"	"0603'"	"11.18mm"	"-17.27mm"	"11.18mm"	"-17.27mm"	"11.18mm"	"-16.57mm"	"B"	"270"	"33nF"
"C5"	"1206"	"24.13mm"	"-4.83mm"	"24.13mm"	"-4.83mm"	"22.53mm"	"-4.83mm"	"B"	"0"	"4.7uF"
"C6"	"1206"	"58.42mm"	"-6.35mm"	"58.42mm"	"-6.35mm"	"56.82mm"	"-6.35mm"	"B"	"0"	"4.7uF"
"C7"	"1206"	"58.42mm"	"-10.03mm"	"58.42mm"	"-10.03mm"	"56.82mm"	"-10.03mm"	"B"	"0"	"4.7uF"
"CN1"	"HDR-TH_4P-P2.54-V-M"	"11.56mm"	"-1.91mm"	"11.56mm"	"-1.91mm"	"7.75mm"	"-1.91mm"	"T"	"0"	"PZ254V-11-04P"
"CN3"	"CONN-TH_XY308-2.54-7P"	"0.13mm"	"-15.11mm"	"0.13mm"	"-15.11mm"	"0.13mm"	"-15.11mm"	"T"	"90"	"XY308-2.54-7P"
"CN5"	"CONN-TH_XY308-2.54-4P"	"11.56mm"	"-28.19mm"	"11.56mm"	"-28.19mm"	"15.37mm"	"-28.19mm"	"T"	"180"	"XY308-2.54-4P"
"CN8"	"CONN-TH_XY308-2.54-6P"	"59.18mm"	"-1.91mm"	"59.18mm"	"-1.91mm"	"52.83mm"	"-1.91mm"	"T"	"0"	"XY308-2.54-6P"
"CN9"	"HDR-TH_4P-P2.54-V-M"	"56.64mm"	"-28.19mm"	"56.64mm"	"-28.19mm"	"60.45mm"	"-28.19mm"	"T"	"180"	"PZ254V-11-04P"
"CN10"	"CONN-TH_XY308-2.54-8P"	"27.94mm"	"-28.19mm"	"27.94mm"	"-28.19mm"	"36.83mm"	"-28.19mm"	"T"	"180"	"XY308-2.54-8P"
"CN11"	"CONN-TH_XY308-2.54-4P"	"43.18mm"	"-28.19mm"	"43.18mm"	"-28.19mm"	"46.99mm"	"-28.19mm"	"T"	"180"	"XY308-2.54-4P"
"CN12"	"CONN-TH_XY308-2.54-8P"	"27.94mm"	"-1.91mm"	"27.94mm"	"-1.91mm"	"19.05mm"	"-1.91mm"	"T"	"0"	"XY308-2.54-8P"
"CN13"	"CONN-TH_XY308-2.54-4P"	"43.18mm"	"-1.91mm"	"43.18mm"	"-1.91mm"	"39.37mm"	"-1.91mm"	"T"	"0"	"XY308-2.54-4P"
"CN20"	"HDR-TH_12P-P2.54-V-F"	"33.02mm"	"-22.86mm"	"33.02mm"	"-22.86mm"	"19.05mm"	"-22.86mm"	"T"	"0"	"A2541HWV-12P"
"CN21"	"HDR-TH_12P-P2.54-V-F"	"33.02mm"	"-7.62mm"	"33.02mm"	"-7.62mm"	"46.99mm"	"-7.62mm"	"T"	"180"	"A2541HWV-12P"
"CN22"	"HDR-TH_3P-P2.54-V-F-1"	"46.99mm"	"-12.7mm"	"46.99mm"	"-12.7mm"	"46.99mm"	"-15.24mm"	"T"	"90"	"A2541HWV-3P"
"CN23"	"HDR-TH_2P-P2.54-V-F"	"29.21mm"	"-10.16mm"	"29.21mm"	"-10.16mm"	"30.48mm"	"-10.16mm"	"T"	"180"	"KH-A2541HWV-2P"
"D1"	"SMA_L4.3-W2.6-LS5.0-RD"	"58.67mm"	"-14.35mm"	"58.67mm"	"-14.35mm"	"61.08mm"	"-14.36mm"	"B"	"0"	"SS14S-SMA"
"D2"	"SMB(DO-214AA)"	"70.61mm"	"-12.45mm"	"70.61mm"	"-12.45mm"	"70.61mm"	"-14.66mm"	"B"	"270"	"SMBJ5.0A"
"H1"	"HDR-TH_2P-P2.54-V-M"	"6.99mm"	"-10.16mm"	"6.99mm"	"-10.16mm"	"6.99mm"	"-8.89mm"	"T"	"270"	"PZ254V-11-02P"
"H2"	"HDR-TH_4P-P2.54-V-M"	"75.31mm"	"-12.95mm"	"75.31mm"	"-12.95mm"	"75.31mm"	"-9.14mm"	"T"	"270"	"PZ254V-11-04P"
"Q1"	"SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR"	"60.83mm"	"-20.32mm"	"60.83mm"	"-20.32mm"	"61.78mm"	"-21.32mm"	"B"	"270"	"IRLML5203"
"Q2"	"SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR"	"65.79mm"	"-16mm"	"65.79mm"	"-16mm"	"66.74mm"	"-17mm"	"B"	"270"	"IRLML5203"
"Q3"	"SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR"	"4.57mm"	"-17.91mm"	"4.57mm"	"-17.91mm"	"3.62mm"	"-16.91mm"	"B"	"90"	"IRLML5203"
"Q4"	"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR"	"55.75mm"	"-19.69mm"	"55.75mm"	"-19.69mm"	"54.75mm"	"-20.64mm"	"B"	"180"	"BSS138_C400505"
"R1"	"0603'"	"8.26mm"	"-17.27mm"	"8.26mm"	"-17.27mm"	"8.26mm"	"-16.57mm"	"B"	"270"	"100k"
"R2"	"0603'"	"65.79mm"	"-20.32mm"	"65.79mm"	"-20.32mm"	"65.09mm"	"-20.32mm"	"B"	"0"	"100k"
"R4"	"0603'"	"50.8mm"	"-17.02mm"	"50.8mm"	"-17.02mm"	"50.1mm"	"-17.02mm"	"B"	"0"	"100k"
"R5"	"0603'"	"50.8mm"	"-10.16mm"	"50.8mm"	"-10.16mm"	"51.5mm"	"-10.16mm"	"B"	"180"	"430K"
"R6"	"0603'"	"51.69mm"	"-21.34mm"	"51.69mm"	"-21.34mm"	"51.69mm"	"-20.64mm"	"B"	"270"	"100k"
"R7"	"0603'"	"9.78mm"	"-11.3mm"	"9.78mm"	"-11.3mm"	"9.78mm"	"-12mm"	"B"	"90"	"18k"
"R9"	"0603'"	"12.83mm"	"-11.18mm"	"12.83mm"	"-11.18mm"	"12.83mm"	"-10.48mm"	"B"	"270"	"4.7k"
"R10"	"RES-TH_BD2.8-L9.0-P13.00-D0.8"	"9.65mm"	"-15.24mm"	"9.65mm"	"-15.24mm"	"9.65mm"	"-21.74mm"	"T"	"90"	"18k"
"R13"	"0603'"	"4.32mm"	"-13.59mm"	"4.32mm"	"-13.59mm"	"4.32mm"	"-14.29mm"	"B"	"90"	"18k"
"R14"	"RES-TH_BD2.8-L9.0-P13.00-D0.8"	"12.83mm"	"-15.24mm"	"12.83mm"	"-15.24mm"	"12.83mm"	"-21.74mm"	"T"	"90"	"4.7k"
"R17"	"0603'"	"65.66mm"	"-12.45mm"	"65.66mm"	"-12.45mm"	"66.36mm"	"-12.45mm"	"B"	"180"	"68 (NC for lithium)"
"RF1"	"SMA-SMD_HJ-SMA716"	"74.3mm"	"-22.99mm"	"74.3mm"	"-22.99mm"	"74.3mm"	"-22.99mm"	"T"	"0"	"HJ-SMA716"
"RFM"	"WIRELESS-LORA-RFM95W#SMD"	"60.96mm"	"-16.64mm"	"60.96mm"	"-16.64mm"	"53.46mm"	"-9.64mm"	"T"	"0"	"WIRELESS-LORA-RFM95W#SMD"
"U1"	"SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR"	"64.26mm"	"-8mm"	"64.26mm"	"-8mm"	"63.31mm"	"-6.9mm"	"B"	"180"	"TPRT9080-33GJ5"
